Mood,Preference,Cuisine,TimeOfDay,Weather,DietaryRestrictions,DishName,IngredientsAvailable,PreviousDishRatings,Weight,ResponseCount,Feedback
1,2,North Indian,2,1,1,Pesarattu,"Green Gram, Ginger, Spices, Onions",4,Moderate,58,2
0,0,Modern Indian,3,0,0,Rogan Josh,"Lamb, Yogurt, Spices, Onions",2,Moderate,16,5
1,1,North Indian,3,0,1,Lamb Chops,"Lamb, Garlic, Rosemary, Olive Oil",2,Light,50,3
3,1,Continental,1,0,1,Aloo Pitika,"Potatoes, Mustard Oil, Onions, Chilies",3,Moderate,74,4
1,1,Punjabi,1,1,0,Kadala Curry,"Chickpeas, Coconut, Spices, Onions",5,Moderate,50,2
1,1,Modern Indian,1,1,1,Grilled Prawns,"Prawns, Garlic, Lemon, Olive Oil",2,Light,65,4
0,1,Parsi,3,3,0,Pesarattu,"Green Gram, Ginger, Spices, Onions",2,Light,28,5
3,1,South Indian,3,3,0,Paneer Tikka,"Paneer, Yogurt, Spices, Lemon",3,Light,39,5
2,1,Continental,3,3,2,Chole Bhature,"Chickpeas, Flour, Spices, Yogurt",5,Light,20,1
0,2,Mediterranean,1,0,2,Chicken Cafreal,"Chicken, Spices, Vinegar, Garlic",2,Moderate,95,4
1,0,North Indian,1,1,2,Pasta Carbonara,"Pasta, Eggs, Bacon, Cheese",2,Moderate,86,3
2,0,Italian,2,2,1,Aloo Pitika,"Potatoes, Mustard Oil, Onions, Chilies",1,Heavy,73,4
0,1,Asian,1,2,2,Kadhi,"Yogurt, Chickpea Flour, Spices, Onions",4,Light,25,5
3,0,Punjabi,3,0,2,Burrito,"Tortilla, Beans, Rice, Meat",4,Heavy,49,5
1,2,Asian,1,3,0,Rasgulla,"Chhena, Sugar, Water, Cardamom",4,Moderate,39,5
3,2,Punjabi,3,3,0,Paneer Tikka,"Paneer, Yogurt, Spices, Lemon",5,Heavy,80,1
1,0,Modern Indian,2,1,1,Pesarattu,"Green Gram, Ginger, Spices, Onions",1,Moderate,93,2
0,0,Mughlai,2,1,2,Chemmeen Curry,"Prawns, Coconut Milk, Spices, Tamarind",2,Moderate,72,4
